TLD,Frequency
com,0.45588824844764764
org,0.06643563268566609
io,0.05311405892257392
dev,0.04045173379421346
240,0.031067834308843138
uk,0.024995025939355063
net,0.022702503660017758
app,0.01874107267473801
de,0.017624507419516728
top,0.013826403798697538
co,0.013683863553350141
me,0.011412128393125996
au,0.010916207122854843
ly,0.008763255500420196
ru,0.007450697407846246
network,0.0063667976255170795
ca,0.00608765631171176
fr,0.00607577795793281
to,0.005873845943690664
it,0.005630339691222194
br,0.005567978333882707
nl,0.005220536485848426
info,0.005131448832506303
site,0.004956243114266794
link,0.004873094637814145
jp,0.004513774436000915
edu,0.003967370162169225
in,0.003899069627940264
pl,0.003673380906140218
cn,0.0035842932527980946
xyz,0.003403148357669111
us,0.003124007043863791
id,0.0030586760980795672
gov,0.002874561614505846
eu,0.002761717253605823
cf,0.002530089354916302
se,0.002455849643797866
be,0.0024172449940162793
ga,0.002402397051792592
at,0.0022628263948899323
nz,0.0022628263948899323
cc,0.0022390696873320327
gd,0.002040107261534624
gq,0.001939141254413551
za,0.0018975670161872266
ch,0.0018649015432951148
page,0.0018559927779609024
shop,0.0017164221210582426
es,0.0017015741788345554
cz,0.0015976385832687447
ie,0.0015382468143739958
gr,0.001377889038358174
ro,0.0013660106845792242
live,0.0012531663236792013
ir,0.00118486578945024
dk,0.0011818962010055026
vip,0.001164078670337078
no,0.0011225044321107537
fun,0.0011017173129975917
mx,0.0010868693707739045
online,0.0010690518401054799
biz,0.00105717348632653
il,0.0010126296596554684
ar,0.001009660071210731
ws,0.0009443291254265071
ml,0.0009443291254265071
tr,0.0009413595369817697
fi,0.0009265115947580825
club,0.0008671198258633336
vn,0.0008671198258633336
cl,0.0008433631183054341
tv,0.0008196064107475345
ua,0.0008106976454133222
hu,0.0007691234071869979
sg,0.0007661538187422605
kr,0.0007513058765185733
icu,0.0007513058765185733
pt,0.0007186404036264615
my,0.0007127012267369865
mil,0.0006740965769553998
tw,0.0006325223387290755
ph,0.0006147048080606508
lt,0.0005731305698343267
sk,0.0005642218045001144
pk,0.0005345259200527399
ee,0.000528586743163265
host,0.0004988908587158906
si,0.0004988908587158906
bio,0.0004959212702711531
pe,0.00045731662048956634
tk,0.0004543470320448289
ink,0.0004543470320448289
hr,0.00044840785515535403
rs,0.00044840785515535403
so,0.0004424686782658791
hk,0.00043652950137640427
ng,0.0004276207360421919
